Timestamp,BusinessDate,Material,MaterialCode,DeltaQty,UOM,Reference,Notes
2026-06-01 08:53:29,05-30-2026,Base Oil,BASE-150,-274.36499999999995,Gal,PROD567-FSMO13-26150,Line 2 – 4 Seasons Oil 10W30
2026-06-03 07:44:00,06-01-2026,Charcoal Lighter Fluid,CHAR-GAL,-654.48,gal,PROD568-CLF-QT-26152,Line 6 – Quick Lite
2026-06-03 07:44:23,06-01-2026,DEF Bulk,GEF030,-440.44,gal,PROD569-ATAB55-26152,Line 4 – Drum DEF
2026-06-03 07:44:43,06-01-2026,Base Oil,BASE-150,-823.0949999999999,Gal,PROD570-FSMO13-26152,Line 2 – 4 Seasons Oil 10W30
2026-06-03 07:44:52,06-01-2026,Base Oil,BASE-150,-548.7299999999999,Gal,PROD571-FSMO14-26152,Line 2 – 4 Seasons Oil 10W40
2026-07-14 03:00:49,07-06-2026,Methanol,BULK-MET,-2098.6992,gal,PROD572-OTRWWSHDEICER1G-26187,Line 1 – OTR -25 W/Wash
2026-07-15 23:23:20,07-07-2026,Raw Ethylene Glycol,EG-RAW,-542.6999999999999,Gal,PROD575-FSAF50-26188,Line 1 – 4 Seasons Antifreeze
2026-07-15 23:23:48,07-07-2026,Raw Ethylene Glycol,EG-RAW,-1845.18,Gal,PROD576-ATGP50-26188,Line 1 – Green Power 50
2026-07-15 23:34:36,07-08-2026,Raw Ethylene Glycol,EG-RAW,-217.08,Gal,PROD578-TBDXTREME-26189,Line 1 – Xtreme AF
2026-07-15 23:36:01,07-08-2026,Raw Ethylene Glycol,EG-RAW,-26.0,gal,PROD579-ATGP50-55-26189,Line 4 – Drum Green Power -34
2026-07-15 23:42:41,07-10-2026,Raw Ethylene Glycol,EG-RAW,-434.16,Gal,PROD583-TBDXTREME-26191,Line 1 – Xtreme AF
2026-07-15 23:44:48,07-11-2026,Raw Ethylene Glycol,EG-RAW,-156.0,gal,PROD585-ATGP50-55-26192,Line 4 – Drum Green Power -34
2026-07-15 23:45:02,07-11-2026,DEF Bulk,GEF030,-330.33,gal,PROD586-ATAB55-26192,Line 4 – Drum DEF
2026-07-15 23:45:18,07-11-2026,Raw Ethylene Glycol,EG-RAW,-651.2399999999999,Gal,PROD587-TBDXTREME-26192,Line 1 – Xtreme AF
2026-07-15 23:46:25,07-13-2026,Base Oil,BASE-150,-274.36499999999995,Gal,PROD589-FSMO53-26194,Line 2 – 4 Seasons Oil 5W30
2026-07-15 23:47:49,07-13-2026,Raw Ethylene Glycol,EG-RAW,-1953.72,Gal,PROD591-TBDXTREME-26194,Line 1 – Xtreme AF
2026-07-15 23:48:35,07-14-2026,Base Oil,BASE-150,-548.7299999999999,Gal,PROD592-FSMO53-26195,Line 2 – 4 Seasons Oil 5W30
2026-07-15 23:48:44,07-14-2026,Base Oil,BASE-150,-548.7299999999999,Gal,PROD593-FSMO52-26195,Line 2 – 4 Seasons Oil 5W20
2026-07-15 23:49:39,07-14-2026,Raw Ethylene Glycol,EG-RAW,-2713.4999999999995,Gal,PROD594-ATGP50-26195,Line 1 – Green Power 50
2026-07-20 22:48:48,07-15-2026,Base Oil,BASE-150,-548.7299999999999,Gal,PROD595-FSMO13-26196,Line 2 – 4 Seasons Oil 10W30
2026-07-20 22:48:57,07-15-2026,Base Oil,BASE-150,-274.36499999999995,Gal,PROD596-FSMO52-26196,Line 2 – 4 Seasons Oil 5W20
2026-07-20 22:50:19,07-15-2026,Raw Ethylene Glycol,EG-RAW,-1411.0199999999998,Gal,PROD597-ATGP50-26196,Line 1 – Green Power 50
2026-07-20 22:51:15,07-16-2026,Base Oil,BASE-150,-1097.4599999999998,Gal,PROD599-FSMO13-26197,Line 2 – 4 Seasons Oil 10W30
2026-07-20 22:52:20,07-17-2026,Base Oil,BASE-150,-274.36499999999995,Gal,PROD603-FSMO13-26198,Line 2 – 4 Seasons Oil 10W30
2026-07-20 22:52:29,07-17-2026,Base Oil,BASE-150,-548.7299999999999,Gal,PROD604-FSMO52-26198,Line 2 – 4 Seasons Oil 5W20
2026-08-26 15:02:26,07-27-2026,Ethanol,ETHANOL-BULK,-840.0,Gal,PROD609-ATRE506-26208,Line 3 – RV Antifreeze -50 | backfill
2026-08-26 15:02:26,07-27-2026,Methanol,BULK-MET,-242.15760000000003,gal,PROD610-OTRWWSHDEICER1G-26208,Line 1 – OTR -25 W/Wash | backfill
2026-08-26 15:02:26,07-29-2026,Ethanol,ETHANOL-BULK,-714.0,Gal,PROD611-ATRE506-26210,Line 3 – RV Antifreeze -50 | backfill
2026-08-26 15:02:26,07-30-2026,Ethanol,ETHANOL-BULK,-1428.0,Gal,PROD614-ATRE506-26211,Line 3 – RV Antifreeze -50 | backfill
2026-08-26 15:02:26,07-30-2026,Methanol,BULK-MET,-216.0,gal,PROD615-ATWW55-26211,Line 4 – Drum W/Wash -20 | backfill
2026-08-26 15:02:26,07-31-2026,Methanol,BULK-MET,-1372.2264,gal,PROD617-OTRWWSHDEICER1G-26212,Line 1 – OTR -25 W/Wash | backfill
2026-08-26 15:02:26,07-31-2026,Ethanol,ETHANOL-BULK,-924.0,Gal,PROD618-ATRE506-26212,Line 3 – RV Antifreeze -50 | backfill
2026-08-26 15:02:26,08-01-2026,Methanol,BULK-MET,-1210.7880000000002,gal,PROD620-OTRWWSHDEICER1G-26213,Line 1 – OTR -25 W/Wash | backfill
2026-08-26 15:02:26,08-01-2026,Ethanol,ETHANOL-BULK,-378.0,Gal,PROD621-ATRE506-26213,Line 3 – RV Antifreeze -50 | backfill
2026-08-26 15:02:26,08-03-2026,Methanol,BULK-MET,-2017.9800000000002,gal,PROD623-OTRWWSHDEICER1G-26215,Line 1 – OTR -25 W/Wash | backfill
2026-08-26 15:02:26,08-03-2026,Ethanol,ETHANOL-BULK,-1176.0,Gal,PROD624-ATRE506-26215,Line 3 – RV Antifreeze -50 | backfill
2026-08-26 15:02:26,08-04-2026,Raw Ethylene Glycol,EG-RAW-GAL,-1085.3999999999999,Gal,PROD625-ATGP50-26216,Line 1 – Green Power 50 | backfill
2026-08-26 15:02:26,08-04-2026,Methanol,BULK-MET,-161.4384,gal,PROD627-OTRWWSHDEICER1G-26216,Line 1 – OTR -25 W/Wash | backfill
2026-08-26 15:02:26,08-04-2026,Ethanol,ETHANOL-BULK,-924.0,Gal,PROD628-ATRE506-26216,Line 3 – RV Antifreeze -50 | backfill
2026-08-26 15:02:26,08-04-2026,Methanol,BULK-MET,-72.0,gal,PROD630-ATWW55-26216,Line 4 – Drum W/Wash -20 | backfill
2026-08-26 15:02:26,08-05-2026,Raw Ethylene Glycol,EG-RAW-GAL,-2604.9599999999996,Gal,PROD631-ATGP50-26217,Line 1 – Green Power 50 | backfill
2026-08-26 15:02:26,08-06-2026,Raw Ethylene Glycol,EG-RAW-GAL,-2170.7999999999997,Gal,PROD634-FSAF50-26218,Line 1 – 4 Seasons Antifreeze | backfill
2026-08-26 15:02:26,08-06-2026,Ethanol,ETHANOL-BULK,-440.0,Gal,PROD638-ATRE501-26218,Line 4 – Drum RV-50 Pink | backfill
2026-08-26 15:02:26,08-07-2026,Raw Ethylene Glycol,EG-RAW-GAL,-2170.7999999999997,Gal,PROD639-ATGP50-26219,Line 1 – Green Power 50 | backfill
2026-08-26 15:02:26,08-07-2026,Methanol,BULK-MET,-346.12199999999996,Gal,PROD640-ATWWPX-26219,Line 3 – PolarX W/Wash -20 | backfill
2026-08-26 15:02:26,08-07-2026,Base Oil,BASE-150,-548.7299999999999,Gal,PROD642-FSMO52-26219,Line 2 – 4 Seasons Oil 5W20 | backfill
2026-08-26 15:02:26,08-07-2026,Base Oil,BASE-150,-548.7299999999999,Gal,PROD643-FSMO53-26219,Line 2 – 4 Seasons Oil 5W30 | backfill
2026-08-26 15:02:26,08-08-2026,Methanol,BULK-MET,-553.7951999999999,Gal,PROD646-ATWWPX-26220,Line 3 – PolarX W/Wash -20 | backfill
2026-08-26 15:02:26,08-10-2026,Ethanol,ETHANOL-BULK,-168.0,Gal,PROD650-ATRE506-26222,Line 3 – RV Antifreeze -50 | backfill
2026-08-26 15:02:26,08-10-2026,Raw Ethylene Glycol,EG-RAW-GAL,-542.6999999999999,Gal,PROD651-ATFP50-26222,Line 1 – Fleet Power 50 | backfill
2026-08-26 15:02:26,08-10-2026,Raw Ethylene Glycol,EG-RAW-GAL,-217.07999999999998,Gal,PROD653-ATGLP50-26222,Line 1 – Global Power 50 | backfill
2026-08-26 15:02:26,08-10-2026,Raw Ethylene Glycol,EG-RAW-GAL,-217.07999999999998,Gal,PROD654-ATGLPFS-26222,Line 1 – Global Power 100 | backfill
2026-08-26 15:02:26,08-10-2026,Raw Ethylene Glycol,EG-RAW-GAL,-217.07999999999998,Gal,PROD655-ATGPFS-26222,Line 1 – Green Power 100 | backfill
2026-08-26 15:02:26,08-10-2026,Base Oil,BASE-150,-548.7299999999999,Gal,PROD656-FSMO13-26222,Line 2 – 4 Seasons Oil 10W30 | backfill
2026-08-26 15:02:26,08-10-2026,Base Oil,BASE-150,-274.36499999999995,Gal,PROD657-FSMO14-26222,Line 2 – 4 Seasons Oil 10W40 | backfill
2026-08-26 15:02:26,08-11-2026,Methanol,BULK-MET,-1049.3496,gal,PROD659-OTRWWSHDEICER1G-26223,Line 1 – OTR -25 W/Wash | backfill
2026-08-26 15:02:26,08-11-2026,Raw Ethylene Glycol,EG-RAW-GAL,-217.07999999999998,Gal,PROD660-ATFP50-26223,Line 1 – Fleet Power 50 | backfill
2026-08-26 15:02:26,08-11-2026,Raw Ethylene Glycol,EG-RAW-GAL,-651.2399999999999,Gal,PROD661-ATCP50-26223,Line 1 – Cool Power 50 | backfill
2026-08-26 15:02:26,08-11-2026,Base Oil,BASE-150,-823.0949999999999,Gal,PROD662-FSMOTF-26223,Line 2 – 4 Seasons Oil ATF | backfill
2026-08-26 15:02:26,08-11-2026,Base Oil,BASE-150,-274.36499999999995,Gal,PROD663-FSMO14-26223,Line 2 – 4 Seasons Oil 10W40 | backfill
2026-08-26 15:02:26,08-12-2026,Methanol,BULK-MET,-1210.7880000000002,gal,PROD664-OTRWWSHDEICER1G-26224,Line 1 – OTR -25 W/Wash | backfill
2026-08-26 15:02:26,08-12-2026,Ethanol,ETHANOL-BULK,-294.0,Gal,PROD665-ATRE506-26224,Line 3 – RV Antifreeze -50 | backfill
2026-08-26 15:02:26,08-12-2026,Base Oil,BASE-150,-548.7299999999999,Gal,PROD666-FSMOTF-26224,Line 2 – 4 Seasons Oil ATF | backfill
2026-08-26 15:02:26,08-12-2026,Base Oil,BASE-150,-548.7299999999999,Gal,PROD667-FSMO52-26224,Line 2 – 4 Seasons Oil 5W20 | backfill
2026-08-26 15:02:26,08-13-2026,Methanol,BULK-MET,-1452.9456000000002,gal,PROD668-OTRWWSHDEICER1G-26225,Line 1 – OTR -25 W/Wash | backfill
2026-08-26 15:02:26,08-13-2026,Ethanol,ETHANOL-BULK,-504.0,Gal,PROD669-ATRE506-26225,Line 3 – RV Antifreeze -50 | backfill
2026-08-26 15:02:26,08-13-2026,Base Oil,BASE-150,-548.7299999999999,Gal,PROD671-FSMO53-26225,Line 2 – 4 Seasons Oil 5W30 | backfill
2026-08-26 15:02:26,08-13-2026,Base Oil,BASE-150,-274.36499999999995,Gal,PROD672-FSMO52-26225,Line 2 – 4 Seasons Oil 5W20 | backfill
2026-08-26 15:02:26,08-14-2026,Base Oil,BASE-150,-274.36499999999995,Gal,PROD677-FSMO53-26226,Line 2 – 4 Seasons Oil 5W30 | backfill
2026-08-26 15:02:26,08-14-2026,Base Oil,BASE-150,-548.7299999999999,Gal,PROD678-FSMO13-26226,Line 2 – 4 Seasons Oil 10W30 | backfill
2026-08-26 15:02:26,08-17-2026,Methanol,BULK-MET,-2179.4184,gal,PROD685-OTRWWSHDEICER1G-26229,Line 1 – OTR -25 W/Wash | backfill
2026-08-26 15:02:26,08-17-2026,Ethanol,ETHANOL-BULK,-84.0,Gal,PROD686-ATRE506-26229,Line 3 – RV Antifreeze -50 | backfill
2026-08-26 15:02:26,08-17-2026,Base Oil,BASE-150,-274.36499999999995,Gal,PROD687-FSMO13-26229,Line 2 – 4 Seasons Oil 10W30 | backfill
2026-08-26 15:02:26,08-17-2026,Base Oil,BASE-150,-274.36499999999995,Gal,PROD688-FSMO14-26229,Line 2 – 4 Seasons Oil 10W40 | backfill
2026-08-26 15:02:26,08-18-2026,Methanol,BULK-MET,-403.596,gal,PROD692-OTRWWSHDEICER1G-26230,Line 1 – OTR -25 W/Wash | backfill
2026-08-26 15:02:26,08-18-2026,Raw Ethylene Glycol,EG-RAW-GAL,-2170.7999999999997,Gal,PROD693-FSAF50-26230,Line 1 – 4 Seasons Antifreeze | backfill
2026-08-26 15:02:26,08-18-2026,Base Oil,BASE-150,-823.0949999999999,Gal,PROD694-FSMO14-26230,Line 2 – 4 Seasons Oil 10W40 | backfill
2026-08-26 15:02:26,08-18-2026,Charcoal Lighter Fluid,CHAR-GAL,-654.48,gal,PROD695-CLF-QT-26230,Line 6 – Quick Lite | backfill
2026-08-26 15:02:26,08-19-2026,Propylene Glycol,PG-BULK,-1008.0,Gal,PROD696-ATRP1006-26231,Line 3 – RV Antifreeze -100 | backfill
2026-08-26 15:02:26,08-19-2026,Raw Ethylene Glycol,EG-RAW-GAL,-1845.1799999999998,Gal,PROD697-ATGP50-26231,Line 1 – Green Power 50 | backfill
2026-08-26 15:02:26,08-19-2026,Raw Ethylene Glycol,EG-RAW-GAL,-651.2399999999999,Gal,PROD698-FSAF50-26231,Line 1 – 4 Seasons Antifreeze | backfill
2026-08-26 15:02:26,08-19-2026,Base Oil,BASE-150,-823.0949999999999,Gal,PROD699-FSMO53-26231,Line 2 – 4 Seasons Oil 5W30 | backfill
2026-08-26 15:02:26,08-19-2026,Charcoal Lighter Fluid,CHAR-GAL,-218.16,gal,PROD700-CLF-QT-26231,Line 6 – Quick Lite | backfill
2026-08-26 15:02:26,08-20-2026,Propylene Glycol,PG-BULK,-756.0,Gal,PROD701-ATRP1006-26232,Line 3 – RV Antifreeze -100 | backfill
2026-08-26 15:02:26,08-20-2026,Raw Ethylene Glycol,EG-RAW-GAL,-1845.1799999999998,Gal,PROD702-ATGP50-26232,Line 1 – Green Power 50 | backfill
2026-08-26 15:02:26,08-20-2026,Methanol,BULK-MET,-484.5707999999999,Gal,PROD703-ATWWPX-26232,Line 3 – PolarX W/Wash -20 | backfill
2026-08-26 15:02:26,08-20-2026,Base Oil,BASE-150,-274.36499999999995,Gal,PROD704-FSMO53-26232,Line 2 – 4 Seasons Oil 5W30 | backfill
2026-08-26 15:02:26,08-20-2026,Base Oil,BASE-150,-548.7299999999999,Gal,PROD705-FSMO13-26232,Line 2 – 4 Seasons Oil 10W30 | backfill
2026-08-26 15:02:26,08-20-2026,Raw Ethylene Glycol,EG-RAW,-156.0,gal,PROD706-ATGLP5055-26232,Line 4 – Drum Global Power 50 | backfill
2026-08-26 15:02:26,08-21-2026,Raw Ethylene Glycol,EG-RAW-GAL,-542.6999999999999,Gal,PROD710-SAGR50-26233,Line 1 – Simply Green | backfill
2026-08-26 15:02:26,08-21-2026,Methanol,BULK-MET,-1246.0391999999997,Gal,PROD711-ATWWPX-26233,Line 3 – PolarX W/Wash -20 | backfill
2026-08-26 15:02:26,08-21-2026,Base Oil,BASE-150,-274.36499999999995,Gal,PROD712-FSMO13-26233,Line 2 – 4 Seasons Oil 10W30 | backfill
2026-08-26 15:02:26,08-21-2026,Base Oil,BASE-150,-274.36499999999995,Gal,PROD713-FSMO14-26233,Line 2 – 4 Seasons Oil 10W40 | backfill
2026-08-26 15:02:26,08-21-2026,Methanol,BULK-MET,-720.0,gal,PROD714-ATWW55-26233,Line 4 – Drum W/Wash -20 | backfill
2026-08-26 15:02:26,08-22-2026,Raw Ethylene Glycol,EG-RAW-GAL,-1628.1,Gal,PROD716-SAGR50-26234,Line 1 – Simply Green | backfill
2026-08-26 15:02:26,08-24-2026,Methanol,BULK-MET,-1614.384,gal,PROD718-OTRWWSHDEICER1G-26236,Line 1 – OTR -25 W/Wash | backfill
2026-08-26 15:02:26,08-24-2026,Raw Ethylene Glycol,EG-RAW-GAL,-108.53999999999999,Gal,PROD719-SAGR50-26236,Line 1 – Simply Green | backfill
2026-08-26 15:02:26,08-24-2026,Methanol,BULK-MET,-1176.8147999999999,Gal,PROD720-ATWWPX-26236,Line 3 – PolarX W/Wash -20 | backfill
2026-08-26 15:02:26,08-24-2026,JEGS Break-In Oil 10W30,BOIL-30,-273.0,Gal,PROD721-JEGSBIOILQT-26236,Line 2 – JEGS Break-In Oil 10W30 | backfill
2026-08-26 15:02:26,08-25-2026,DEF Bulk,GEF030,-220.21999999999997,gal,PROD722-ATAB55-26237,Line 4 – Drum DEF | backfill
2026-08-26 15:02:26,08-25-2026,Methanol,BULK-MET,-1614.384,gal,PROD723-OTRWWSHDEICER1G-26237,Line 1 – OTR -25 W/Wash | backfill
2026-08-26 15:02:26,08-25-2026,Methanol,BULK-MET,-830.6927999999998,Gal,PROD725-ATWWPX-26237,Line 3 – PolarX W/Wash -20 | backfill
